12:32:43   msbar.buttons(19).Key   cancel
12:32:43   msbar.buttons(19).Caption   放弃
12:32:43   msbar.buttons(20).Key   resubmit
12:32:43   msbar.buttons(20).Caption   重新提交
12:32:43   msbar.buttons(21).Key   submit
12:32:43   msbar.buttons(21).Caption   提交
12:32:43   msbar.buttons(22).Key   unsubmit
12:32:43   msbar.buttons(22).Caption   撤销
12:32:43   msbar.buttons(23).Key   verify
12:32:43   msbar.buttons(23).Caption   审核
12:32:43   msbar.buttons(24).Key   unverify
12:32:43   msbar.buttons(24).Caption   弃审
12:32:43   msbar.buttons(25).Key   viewverify
12:32:43   msbar.buttons(25).Caption   查审
12:32:43   msbar.buttons(26).Key   closeorder
12:32:43   msbar.buttons(26).Caption   关闭
12:32:43   msbar.buttons(27).Key   openorder
12:32:43   msbar.buttons(27).Caption   打开
12:32:43   msbar.buttons(28).Key   lock
12:32:43   msbar.buttons(28).Caption   锁定
12:32:43   msbar.buttons(29).Key   checkstock
12:32:43   msbar.buttons(29).Caption   可用量
12:32:43   msbar.buttons(30).Key   unlock
12:32:43   msbar.buttons(30).Caption   解锁
12:32:43   msbar.buttons(31).Key   changeorder
12:32:43   msbar.buttons(31).Caption   变更
12:32:43   msbar.buttons(32).Key   addline
12:32:43   msbar.buttons(32).Caption   增行
12:32:43   msbar.buttons(33).Key   delline
12:32:43   msbar.buttons(33).Caption   删行
12:32:43   msbar.buttons(34).Key   insertline
12:32:43   msbar.buttons(34).Caption   插行
12:32:43   msbar.buttons(35).Key   fetchprice
12:32:43   msbar.buttons(35).Caption   取价
12:32:43   msbar.buttons(36).Key   attached
12:32:43   msbar.buttons(36).Caption   附件
12:32:43   msbar.buttons(37).Key   formatsetup
12:32:43   msbar.buttons(37).Caption   格式设置
12:32:43   msbar.buttons(38).Key   savelayout
12:32:43   msbar.buttons(38).Caption   保存布局
12:32:43   msbar.buttons(39).Key   pricehistory
12:32:43   msbar.buttons(39).Caption   价格
12:32:43   msbar.buttons(40).Key   locate
12:32:43   msbar.buttons(40).Caption   定位
12:32:43   msbar.buttons(41).Key   refresh
12:32:43   msbar.buttons(41).Caption   刷新
12:32:43   msbar.buttons(42).Key   billrelation
12:32:43   msbar.buttons(42).Caption   关联查询
12:32:43   msbar.buttons(43).Key   help
12:32:43   msbar.buttons(43).Caption   帮助
12:32:56   Function:->RunCommand is true   
12:34:08   headertext name dreleasedate    Value:
12:34:08   headertext name breturnflag    Value:False
12:34:08   headertext name zdsum    Value:0.00
12:34:08   headertext name isumx    Value:0.00
12:34:08   headertext name ivtid    Value:95
12:34:08   headertext name ccuspersoncode    Value:
12:34:08   headertext name bmustbook    Value:0
12:34:08   headertext name fbookratio    Value:
12:34:08   headertext name fbooksum    Value:
12:34:08   headertext name fbooknatsum    Value:
