"CustCode","CustInvoice","CustInvoiceDate","CustPO","DONo","DODate","DOTime","ItemNo","PartCode","ModelNo","CustLot","LotNo","DelQty","MarkLot","FromStation","SEPOperationCode","ToStation","EPJOperationCode","NextStation","MaterialPrice","Currency","ProductCode","ParentCode","PlatingSpec","Remark1","Remark2","Remark3"
"90724","EPJ-A/L-09801","20150702","","","0","0","02716523F","","","4003112238","4003112238","2210","","","20","","0040","","0.13958","USD","PDNC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","A9000136333F","","","4003112633","4003112633","4220","","","20","","0040","","0.07679","USD","PDNC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0281502KF","","","4003103741","4003103741","25760","","","20","","0040","","0.0152","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0243752KL","","","4002020637","4002020637","26230","","","10","","0030","","0.01083","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","1014660JL","","","4002298690","4002298690","5980","","","20","","0040","","0.01707","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0262809NL","","","4002608840","4002608840","30000","","","10","","0030","","0.01718","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","A242046940J","","","4001700315","4001700315","4470","","","20","","0040","","0.02662","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","4147507KL","","","4002887507","4002887507","2990","","","20","","0040","","0.12246","USD","GCHZ","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0282787VF","","","4002697824","4002697824","29930","","","10","","0030","","0.00931","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0354788KF","","","4002099387","4002099387","20620","","","20","","0040","","0.01509","USD","MTRL","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0262904KL","","","4003039496","4003039496","5390","","","20","","0040","","0.01571","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0272500KL","","","4003053920","4003053920","5160","","","20","","0040","","0.0244","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0223752YL","","","4003039472","4003039472","29100","","","10","","0030","","0.01599","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","02335031L","","","4002061721","4002061721","3550","","","20","","0040","","0.02242","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0223809JL","","","4002883539","4002883539","16800","","","10","","0030","","0.02115","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","A2322469410L","","","4003108722","4003108722","3710","","","20","","0040","","0.02187","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","00275440L","","","4002228662","4002228662","5120","","","20","","0040","","0.00919","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","A242046940J","","","4001703426","4001703426","4960","","","20","","0040","","0.02662","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0282787VF","","","4002697869","4002697869","31360","","","10","","0030","","0.00931","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","07035021L","","","4002339318","4002339318","6720","","","20","","0040","","0.02079","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0351751JF","","","4002692298","4002692298","18690","","","20","","0040","","0.01985","USD","MTRL","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0272949QL","","","4003105181","4003105181","9760","","","20","","0040","","0.02686","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0262904JL","","","4003111953","4003111953","8890","","","20","","0040","","0.01522","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0262904JL","","","4003111954","4003111954","9270","","","20","","0040","","0.01522","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","01065071L","","","4003169096","4003169096","105","","","20","","0040","","7.4375","USD","JTSM","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0737580JF","","","4002397545","4002397545","10490","","","20","","0040","","0.01878","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0271905KF","","","4003053903","4003053903","11010","","","20","","0040","","0.01727","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","40506670F","","","4003054828","4003054828","158","","","20","","0040","","0.7315","USD","JTSM","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","4147907KL","","","4003035639","4003035639","8220","","","20","","0040","","0.04841","USD","GCHZ","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","A128000261L","","","4003099221","4003099221","5900","","","20","","0040","","0.01794","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0281502KF","","","4003103742","4003103742","30270","","","20","","0040","","0.0152","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","A462000030L","","","4003003608","4003003608","5190","","","20","","0040","","0.02038","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0390786ML","","","4002089887","4002089887","74520","","","20","","0040","","0.00057","USD","HEAD","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","41475101L","","","4002102343","4002102343","1540","","","20","","0040","","0.02016","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0243778JL","","","4002228924","4002228924","29740","","","10","","0030","","0.01228","USD","PC5S","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","1014660JL","","","4002299465","4002299465","5960","","","20","","0040","","0.01707","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0282787VF","","","4002697782","4002697782","28710","","","10","","0030","","0.00931","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0282787VF","","","4002697868","4002697868","30070","","","10","","0030","","0.00931","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0027334KL","","","4002739654","4002739654","11910","","","10","","0030","","0.00734","USD","T7NC","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0354788KF","","","4002099403","4002099403","22150","","","20","","0040","","0.01509","USD","MTRL","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0223752YL","","","4003039470","4003039470","29350","","","10","","0030","","0.01599","USD","GCUT","","","","",""
"90724","EPJ-A/L-09801","20150702","","","0","0","0243930KL","","","4003108575","4003108575","13110","","","20","","0040","","0.01411","USD","PC5S","","","","",""
